QUEST_20150317_000001	Please select the user requiring a quest update.	กรุณาเลือกผู้ใช้ที่ต้องรับการอัพเดทเควส
QUEST_20151224_003064	You must not forget this as you get more skillful and handle more variety of magic.	เจ้าจะต้องไม่ลืมว่าทั้งหมดนี้จะทำให้เจ้ามีทักษะที่มากขึ้นและสามารถรับมือกับเวทมนตร์ที่หลากหลายได้
QUEST_20151224_003065	"An advice from me?{nl}Speaking as a Linker, you must have a wide perspective and an open mind.{nl}"	คำแนะนำจากข้า {nl}พูดในฐานะ Linker แล้วกันนะเจ้าต้องมองภาพกว้างๆและเปิดใจ{nl}
QUEST_20151224_003066	There are many cases of those mages who uses magic.{nl}Without checking their surroundings as they want to cast magic as soon as possible.{nl}	มีหลายกรณีที่ผู้ใช้เวทย์นั้นใช้เวทย์{nl}โดยไม่คำนึงถึงสิ่งแวดล้อมรอบๆพวกเขาต้องการร่ายมนต์ให้ไวที่สุดเท่าที่เป็นไปได้{nl}
QUEST_20151224_003067	"Not only do you have to watch for yourself and your enemies, {nl}but you must as well have to be in the head of your ally in arms."	ไม่เพียงเจ้าจะต้องดูตัวเองและศัตรูเท่านั้น {nl}แต่เจ้าต้องคิดไว้เสมอว่าได้สู้ร่วมกับคนอื่นด้วย
QUEST_20151224_003068	"If you don't plan the effects of your magic ahead, {nl}you are no different than those reckless novice soldiers swinging their swords around carelessly."	{nl}ถ้าเจ้าไม่วางแผนการใช้เวทย์ในหัวเลย {nl}เจ้าก็ไม่แตกต่างอะไรจากมือใหม่
QUEST_20151224_003069	"...After so many great accidents and tremendous feats, Zerai finally found people with{nl}whom he could study the supernatural powers that had manifested in himself.{nl}Eventually they came to contact with the magician group known as the Mage Society.{nl}"	หลังจากเกิดเหตุการณ์ร้ายแรงที่คร่าชีวิตคนเป็นจำนวนมาก ในที่สุดZerai {nl}ก็ค้นพบผู้ที่ศึกษาพลังเหนือธรรมชาติได้ด้วยตัวเอง{nl}ในที่สุดพวกเขาก็ได้ติดต่อกับสมาคมนักเวทย์{nl}
QUEST_20151224_003070	"The Mage Society discovered that Zerai's powers were not exclusive,{nl}and could be learned by anyone regardless of their condition.{nl}Very much like magic itself.{nl}"	สมาคมนักเวทย์ได้ค้นพบว่าพลัง Zerai ไม่ได้พิเศษอะไรมาก{nl}และสามารถเรียนรู้ได้ด้วยตัวเองได้{nl}เป็นเหมือนกับเวทมนตร์ของตัวเอง
QUEST_20151224_003071	"That is how Zerai became an official member and the first Psychokino Master {nl}ever to be recognized by the Mage Society.{nl}Of course, at the time, it is said he himself did not know he would become the founder {nl}of a new branch of magic."	Zerai ได้เข้ามาเป็นสมาชิกอย่างเป็นทางการโดยการชวนของ Psychokino Master{nl}และแน่นอนเขาไม่รู้หรอกว่าในเวลานั้นเขาจะกลายเป็นผู้ก่อตั้งโรงเรียนเวทมนตร์
QUEST_20151224_003072	"...As such, when a Psychokino's magic manifests itself, the results are identical,{nl} but there are in fact two ways this can happen.{nl}The first way is when one materializes supernatural powers in the form of regular spells.{nl}"	ดังนั้นเป็นเรื่องจำเป็นที่จะต้องตระหนักว่าผลกระทบจากเวทมนตร์ของ Psychokinos มีผลกับวัตถุ แต่ในความเป็นจริงมันเป็นมีอยู่สองวิธีที่จะเกิดขึ้นได้{nl}ทางแรกคือวัตถุที่มีพลังเหนือธรรมชาติจากการร่ายมนต์{nl}
QUEST_20151224_003073	"The other way is a very particular case, like the one that originated this very branch of magic. {nl}It happens only to a few gifted people whose supernatural powers manifest naturally.{nl}"	วิธีอื่นๆเป็นกรณีพิเศษที่เกิดขึ้นจากโรงเรียนเวทมนตร์{nl}มันเกิดขึ้นกับเฉพาะคนที่มีพรสวรรค์กับพลังที่เหนือธรรมชาติเท่านั้น
QUEST_20151224_003074	"Zerai might have been the first master of these gifted magicians, {nl}but it is a known fact that even those who are born without such powers {nl}can achieve the same results through regular magical training."	Zerai อาจจะได้รับเวทย์นี้เป็นคนแรกที่มีพรสวรรค์นี้{nl}แต่มันเป็นความจริงนั้นของผู้ที่เกิดมาโดยไม่มีพลังเวทมนตร์{nl}สามารถทำได้สำเร็จมีผลเช่นเดียวกับผู้ที่ฝึกฝนทางเวทย์
QUEST_20151224_003075	"...With the world falling into calamity, Ili Terid, a master proudly carrying the achievements {nl}of previous Psychokinos, believed that recording our pre-Medzio Diena history{nl}was a very important task and decided to take the pen in his own hands.{nl}"	โลกที่ตกอยู่ในภัยพิบัติ Ili Terid เป็นต้นแบบของความสำเร็จ {nl}ของPsychokinos เชื่อว่ามันถูกบันทึกก่อนในช่วงแรกของประวัติศาสตร์ Medzio Diena{nl}มันงานที่สำคัญและต้องตัดสินใจด้วยมือของเขาเอง
